"","fish_id","survey","origin.sup","origin.ref","Date","Station","ForkLength","Latitude","Longitude"
"65","S12","edsm","NA","NA",2022-03-11,"22-32-SM03",82,"38.180439999999997","-121.99449"
"66","S13","edsm","NA","NA",2022-03-22,"22-34-SM01",71,"38.174750000000003","-121.96321"
"67","S133","edsm","NA","NA",2022-03-17,"22-33-LSSC01",61,"38.40643","-121.61509"
"68","S134","edsm","NA","NA",2022-03-21,"22-34-CS03",68,"38.374690000000001","-121.63328"
"69","S135","edsm","NA","NA",2022-03-23,"22-34-LSSC01",63,"38.45438","-121.59321"
"70","S136","edsm","NA","NA",2022-03-23,"22-34-USSC01",69,"38.494720000000001","-121.58368"
"71","S137","edsm","NA","NA",2022-03-23,"22-34-LSSC02",65,"38.411749999999998","-121.61150000000001"
"72","S138","edsm","NA","NA",2022-03-23,"22-34-LSSC02",71,"38.411749999999998","-121.61150000000001"
"73","S139","edsm","NA","NA",2022-03-23,"22-34-LSSC02",69,"38.411749999999998","-121.61150000000001"
"74","S140","edsm","NA","NA",2022-03-23,"22-34-LSSC02",67,"38.411749999999998","-121.61150000000001"
"75","S14","edsm","NA","NA",2022-03-29,"22-35-SM01",70,"38.187100000000001","-121.97976"
"76","S141","edsm","NA","NA",2022-03-31,"22-35-LSSC01",75,"38.436309999999999","-121.60037"
