date,OBI.fnu.smelt,FPT.cfs.smelt,FPT.3day.cfs,FPT.fnu.smelt,FPT.3day.fnu
2022-10-01,2.61,6094,6795,1.93,2.06
2022-10-02,2.53,7149,6643,NA,NA
2022-10-03,2.5,6885,6709.333333333333,1.4,NA
2022-10-04,2.5,7178,7070.666666666667,1.54,NA
2022-10-05,2.8299999999999996,6995,7019.333333333333,1.37,1.4366666666666668
2022-10-06,3.34,6877,7016.666666666667,NA,NA
2022-10-07,3.25,7011,6961,NA,NA
2022-10-08,3.71,6999,6962.333333333333,NA,NA
2022-10-09,3.72,6994,7001.333333333333,1.42,NA
2022-10-10,4.88,6914,6969,1.23,NA
2022-10-11,3.58,6726,6878,1.23,1.2933333333333332
2022-10-12,3.9899999999999998,6438,6692.666666666667,1.1800000000000002,1.2133333333333334
2022-10-13,2.69,6752,6638.666666666667,1.2,1.2033333333333334
2022-10-14,1.56,6440,6543.333333333333,1.3,1.2266666666666668
2022-10-15,1.27,5718,6303.333333333333,1.3,1.2666666666666666
2022-10-16,1.31,6910,6356,1.28,1.2933333333333334
2022-10-17,1.35,6679,6435.666666666667,1.25,1.2766666666666666
2022-10-18,1.6,6581,6723.333333333333,1.25,1.26
2022-10-19,1.46,6304,6521.333333333333,1.29,1.2633333333333334
2022-10-20,1.8900000000000001,5756,6213.666666666667,1.27,1.27
2022-10-21,1.87,6120,6060,1.23,1.2633333333333334
2022-10-22,1.95,7136,6337.333333333333,1.76,1.42
2022-10-23,2.23,7889,7048.333333333333,2,1.6633333333333333
2022-10-24,2.52,6940,7321.666666666667,1.92,1.8933333333333333
2022-10-25,2.53,6813,7214,1.76,1.8933333333333333
2022-10-26,2.23,7138,6963.666666666667,1.6600000000000001,1.78
2022-10-27,1.93,7116,7022.333333333333,NA,NA
2022-10-28,2.07,7137,7130.333333333333,1.71,NA
2022-10-29,1.94,7243,7165.333333333333,1.84,NA
2022-10-30,1.85,7085,7155,1.8800000000000001,1.81
2022-10-31,1.74,7188,7172,1.87,1.8633333333333335
2022-11-01,1.71,7149,7140.666666666667,1.86,1.87
2022-11-02,2.03,7799,7378.666666666667,1.6700000000000002,1.8
2022-11-03,2.4299999999999997,7818,7588.666666666667,1.47,1.6666666666666667
2022-11-04,2.51,7538,7718.333333333333,1.55,1.5633333333333335
2022-11-05,2.9499999999999997,7144,7500,1.5,1.5066666666666666
2022-11-06,3.04,6988,7223.333333333333,1.53,1.5266666666666666
2022-11-07,2.9299999999999997,7538,7223.333333333333,1.6300000000000001,1.5533333333333335
