"","agency_cd","location_id","datetime","parameter_cd","parameter_value"
"1","CDEC","DCV",2021-10-01,"20",67.625
"2","CDEC","DCV",2021-10-02,"20",67.96875
"3","CDEC","DCV",2021-10-03,"20",67.3958333333333
"4","CDEC","DCV",2021-10-04,"20",67.2083333333333
"5","CDEC","DCV",2021-10-05,"20",67.125
"6","CDEC","DCV",2021-10-06,"20",67.4375
"7","CDEC","DCV",2021-10-07,"20",68.0729166666667
"8","CDEC","DCV",2021-10-08,"20",64.0729166666667
"9","CDEC","DCV",2021-10-09,"20",63.3333333333333
"10","CDEC","DCV",2021-10-10,"20",63.3541666666667
"11","CDEC","DCV",2021-10-11,"20",62.6354166666667
"12","CDEC","DCV",2021-10-12,"20",63.0833333333333
"13","CDEC","DCV",2021-10-13,"20",63.8854166666667
"14","CDEC","DCV",2021-10-14,"20",63.9895833333333
"15","CDEC","DCV",2021-10-15,"20",63.65625
"16","CDEC","DCV",2021-10-16,"20",63.5208333333333
"17","CDEC","DCV",2021-10-17,"20",64.8645833333333
"18","CDEC","DCV",2021-10-18,"20",86.28125
"19","CDEC","DCV",2021-10-19,"20",79.625
"20","CDEC","DCV",2021-10-20,"20",79.2395833333333
"21","CDEC","DCV",2021-10-21,"20",78.84375
"22","CDEC","DCV",2021-10-22,"20",233.25
"23","CDEC","DCV",2021-10-23,"20",151.34375
"24","CDEC","DCV",2021-10-24,"20",1725.71875
"25","CDEC","DCV",2021-10-25,"20",1335.36458333333
"26","CDEC","DCV",2021-10-26,"20",410.09375
"27","CDEC","DCV",2021-10-27,"20",233.020833333333
"28","CDEC","DCV",2021-10-28,"20",172.177083333333
"29","CDEC","DCV",2021-10-29,"20",137.53125
"30","CDEC","DCV",2021-10-30,"20",118.104166666667
"31","CDEC","DCV",2021-10-31,"20",106.447916666667
"32","CDEC","DCV",2021-11-01,"20",101.572916666667
"33","CDEC","DCV",2021-11-02,"20",101.916666666667
"34","CDEC","DCV",2021-11-03,"20",98.75
"35","CDEC","DCV",2021-11-04,"20",102.010416666667
"36","CDEC","DCV",2021-11-05,"20",108.270833333333
"37","CDEC","DCV",2021-11-06,"20",101.114583333333
"38","CDEC","DCV",2021-11-07,"20",99.3333333333333
"39","CDEC","DCV",2021-11-08,"20",96.6770833333333
"40","CDEC","DCV",2021-11-09,"20",195.09375
"41","CDEC","DCV",2021-11-10,"20",197.28125
"42","CDEC","DCV",2021-11-11,"20",149.40625
"43","CDEC","DCV",2021-11-12,"20",124.697916666667
"44","CDEC","DCV",2021-11-13,"20",111.385416666667
"45","CDEC","DCV",2021-11-14,"20",104.427083333333
"46","CDEC","DCV",2021-11-15,"20",100.604166666667
"47","CDEC","DCV",2021-11-16,"20",98.5416666666667
"48","CDEC","DCV",2021-11-17,"20",96.2604166666667
"49","CDEC","DCV",2021-11-18,"20",96.375
"50","CDEC","DCV",2021-11-19,"20",106.479166666667
"51","CDEC","DCV",2021-11-20,"20",112.645833333333
"52","CDEC","DCV",2021-11-21,"20",103.958333333333
"53","CDEC","DCV",2021-11-22,"20",100.041666666667
"54","CDEC","DCV",2021-11-23,"20",98.7083333333333
"55","CDEC","DCV",2021-11-24,"20",97.5416666666667
"56","CDEC","DCV",2021-11-25,"20",94.7916666666667
"57","CDEC","DCV",2021-11-26,"20",94.0416666666667
"58","CDEC","DCV",2021-11-27,"20",94.4166666666667
"59","CDEC","DCV",2021-11-28,"20",94.0625
"60","CDEC","DCV",2021-11-29,"20",93.2916666666667
"61","CDEC","DCV",2021-11-30,"20",92.53125
"62","CDEC","DCV",2021-12-01,"20",91.78125
"63","CDEC","DCV",2021-12-02,"20",91.4895833333333
"64","CDEC","DCV",2021-12-03,"20",91.625
"65","CDEC","DCV",2021-12-04,"20",91.53125
"66","CDEC","DCV",2021-12-05,"20",91.0833333333333
"67","CDEC","DCV",2021-12-06,"20",91.375
"68","CDEC","DCV",2021-12-07,"20",95.875
"69","CDEC","DCV",2021-12-08,"20",95.1666666666667
"70","CDEC","DCV",2021-12-09,"20",96.0625
"71","CDEC","DCV",2021-12-10,"20",96.7916666666667
"72","CDEC","DCV",2021-12-11,"20",92.625
"73","CDEC","DCV",2021-12-12,"20",128.427083333333
"74","CDEC","DCV",2021-12-13,"20",1517.73958333333
"75","CDEC","DCV",2021-12-14,"20",1152.54166666667
"76","CDEC","DCV",2021-12-15,"20",597.489583333333
"77","CDEC","DCV",2021-12-16,"20",743.802083333333
"78","CDEC","DCV",2021-12-17,"20",373.510416666667
"79","CDEC","DCV",2021-12-18,"20",266.833333333333
"80","CDEC","DCV",2021-12-19,"20",225.322916666667
"81","CDEC","DCV",2021-12-20,"20",201.177083333333
"82","CDEC","DCV",2021-12-21,"20",182.46875
"83","CDEC","DCV",2021-12-22,"20",264.15625
"84","CDEC","DCV",2021-12-23,"20",1193.51041666667
"85","CDEC","DCV",2021-12-24,"20",1361.3125
"86","CDEC","DCV",2021-12-25,"20",1219.625
"87","CDEC","DCV",2021-12-26,"20",770.229166666667
"88","CDEC","DCV",2021-12-27,"20",536.197916666667
"89","CDEC","DCV",2021-12-28,"20",417.114583333333
"90","CDEC","DCV",2021-12-29,"20",426.552083333333
"91","CDEC","DCV",2021-12-30,"20",345.895833333333
"92","CDEC","DCV",2021-12-31,"20",299.395833333333
"93","CDEC","DCV",2022-01-01,"20",258.71875
"94","CDEC","DCV",2022-01-02,"20",230.614583333333
"95","CDEC","DCV",2022-01-03,"20",221.25
"96","CDEC","DCV",2022-01-04,"20",438.84375
"97","CDEC","DCV",2022-01-05,"20",465.125
"98","CDEC","DCV",2022-01-06,"20",460.71875
"99","CDEC","DCV",2022-01-07,"20",470.4375
"100","CDEC","DCV",2022-01-08,"20",504.864583333333
"101","CDEC","DCV",2022-01-09,"20",409.697916666667
"102","CDEC","DCV",2022-01-10,"20",344.104166666667
"103","CDEC","DCV",2022-01-11,"20",301.791666666667
"104","CDEC","DCV",2022-01-12,"20",272.1875
"105","CDEC","DCV",2022-01-13,"20",254.5
"106","CDEC","DCV",2022-01-14,"20",241.072916666667
"107","CDEC","DCV",2022-01-15,"20",232.09375
"108","CDEC","DCV",2022-01-16,"20",224.59375
"109","CDEC","DCV",2022-01-17,"20",215.458333333333
"110","CDEC","DCV",2022-01-18,"20",206.052083333333
"111","CDEC","DCV",2022-01-19,"20",196.125
"112","CDEC","DCV",2022-01-20,"20",188.520833333333
"113","CDEC","DCV",2022-01-21,"20",186.03125
"114","CDEC","DCV",2022-01-22,"20",183.958333333333
"115","CDEC","DCV",2022-01-23,"20",181.208333333333
