"","agency_cd","location_id","datetime","parameter_cd","parameter_value"
"1","CDEC","WLK",2021-10-01,"20",5684.69791666667
"2","CDEC","WLK",2021-10-02,"20",5649.08333333333
"3","CDEC","WLK",2021-10-03,"20",5614.22916666667
"4","CDEC","WLK",2021-10-04,"20",5676.82291666667
"5","CDEC","WLK",2021-10-05,"20",5798.875
"6","CDEC","WLK",2021-10-06,"20",5888.89583333333
"7","CDEC","WLK",2021-10-07,"20",5897.70833333333
"8","CDEC","WLK",2021-10-08,"20",5889.875
"9","CDEC","WLK",2021-10-09,"20",5919.98958333333
"10","CDEC","WLK",2021-10-10,"20",5904.72916666667
"11","CDEC","WLK",2021-10-11,"20",5924.875
"12","CDEC","WLK",2021-10-12,"20",5937.75
"13","CDEC","WLK",2021-10-13,"20",5897.66666666667
"14","CDEC","WLK",2021-10-14,"20",5871.40625
"15","CDEC","WLK",2021-10-15,"20",5815.61458333333
"16","CDEC","WLK",2021-10-16,"20",5811.4375
"17","CDEC","WLK",2021-10-17,"20",5822.83333333333
"18","CDEC","WLK",2021-10-18,"20",5832.70833333333
"19","CDEC","WLK",2021-10-19,"20",5902.17708333333
"20","CDEC","WLK",2021-10-20,"20",6025.39583333333
"21","CDEC","WLK",2021-10-21,"20",6214.38541666667
"22","CDEC","WLK",2021-10-22,"20",6299.08333333333
"23","CDEC","WLK",2021-10-23,"20",6362.46875
"24","CDEC","WLK",2021-10-24,"20",7404.10416666667
"25","CDEC","WLK",2021-10-25,"20",11955.2291666667
"26","CDEC","WLK",2021-10-26,"20",23339.1354166667
"27","CDEC","WLK",2021-10-27,"20",20410.875
"28","CDEC","WLK",2021-10-28,"20",14306.8333333333
"29","CDEC","WLK",2021-10-29,"20",11115.9166666667
"30","CDEC","WLK",2021-10-30,"20",9424.25
"31","CDEC","WLK",2021-10-31,"20",8307.71875
"32","CDEC","WLK",2021-11-01,"20",7466.47916666667
"33","CDEC","WLK",2021-11-02,"20",7011.36458333333
"34","CDEC","WLK",2021-11-03,"20",6892.44791666667
"35","CDEC","WLK",2021-11-04,"20",7195.75
"36","CDEC","WLK",2021-11-05,"20",6788.02083333333
"37","CDEC","WLK",2021-11-06,"20",6548.375
"38","CDEC","WLK",2021-11-07,"20",6305.86458333333
"39","CDEC","WLK",2021-11-08,"20",5980.75
"40","CDEC","WLK",2021-11-09,"20",5807.77083333333
"41","CDEC","WLK",2021-11-10,"20",6515.30208333333
"42","CDEC","WLK",2021-11-11,"20",11298.7083333333
"43","CDEC","WLK",2021-11-12,"20",9465.45833333333
"44","CDEC","WLK",2021-11-13,"20",7454.08333333333
"45","CDEC","WLK",2021-11-14,"20",6221.375
"46","CDEC","WLK",2021-11-15,"20",5418.35416666667
"47","CDEC","WLK",2021-11-16,"20",4841.46875
"48","CDEC","WLK",2021-11-17,"20",4544.04166666667
"49","CDEC","WLK",2021-11-18,"20",4305.82291666667
