"","year","date","daily.mean","three.day.avg.fnu"
"1",2021,2021-10-01,1.340625,NA
"2",2021,2021-10-02,1.36875,NA
"3",2021,2021-10-03,1.39479166666667,1.36805555555556
"4",2021,2021-10-04,1.38125,1.38159722222222
"5",2021,2021-10-05,1.30625,1.36076388888889
"6",2021,2021-10-06,1.29895833333333,1.32881944444444
"7",2021,2021-10-07,1.371875,1.32569444444444
"8",2021,2021-10-08,1.428125,1.36631944444444
"9",2021,2021-10-09,1.37395833333333,1.39131944444444
"10",2021,2021-10-10,1.4375,1.41319444444444
"11",2021,2021-10-11,1.690625,1.50069444444444
"12",2021,2021-10-12,1.68333333333333,1.60381944444444
"13",2021,2021-10-13,1.61770833333333,1.66388888888889
"14",2021,2021-10-14,1.63958333333333,1.646875
"15",2021,2021-10-15,1.59263157894737,1.61664108187135
"16",2021,2021-10-16,1.565625,1.59927997076023
"17",2021,2021-10-17,1.528125,1.56212719298246
"18",2021,2021-10-18,1.44791666666667,1.51388888888889
"19",2021,2021-10-19,1.43297872340426,1.46967346335697
"20",2021,2021-10-20,1.44895833333333,1.44328457446809
"21",2021,2021-10-21,1.7,1.52731235224586
"22",2021,2021-10-22,NA,NA
"23",2021,2021-10-23,NA,NA
"24",2021,2021-10-24,9.32,NA
"25",2021,2021-10-25,27.8510416666667,NA
"26",2021,2021-10-26,84.1145833333333,40.4285416666667
"27",2021,2021-10-27,89.3916666666667,67.1190972222222
"28",2021,2021-10-28,84.0427083333333,85.8496527777778
"29",2021,2021-10-29,46.4979166666667,73.3107638888889
"30",2021,2021-10-30,23.4833333333333,51.3413194444444
"31",2021,2021-10-31,14.8364583333333,28.2725694444444
"32",2021,2021-11-01,9.34479166666667,15.8881944444444
"33",2021,2021-11-02,7.44375,10.5416666666667
"34",2021,2021-11-03,6.57529411764706,7.78794526143791
"35",2021,2021-11-04,5.5875,6.53551470588235
"36",2021,2021-11-05,5.703125,5.95530637254902
"37",2021,2021-11-06,5.93125,5.740625
"38",2021,2021-11-07,5.840625,5.825
"39",2021,2021-11-08,5.99052631578947,5.92080043859649
"40",2021,2021-11-09,7.52545454545455,6.45220195374801
"41",2021,2021-11-10,6.71145833333333,6.74247973152578
"42",2021,2021-11-11,7.40520833333333,7.2140404040404
"43",2021,2021-11-12,14.0484210526316,9.38836257309942
"44",2021,2021-11-13,14.0479166666667,11.8338486842105
"45",2021,2021-11-14,12.5375,13.5446125730994
"46",2021,2021-11-15,10.2572916666667,12.2809027777778
"47",2021,2021-11-16,7.78541666666667,10.1934027777778
"48",2021,2021-11-17,6.38125,8.14131944444444
"49",2021,2021-11-18,5.65,6.60555555555556
"50",2021,2021-11-19,5.20416666666667,5.74513888888889
