"","datetime","msd.F.sal","ppt.F.sal"
"1",2021-10-01,69.3739583333333,69.1989583333333
"2",2021-10-02,70.5760416666667,69.4791666666667
"3",2021-10-03,71.240625,69.7104166666667
"4",2021-10-04,71.1625,69.9229166666667
"5",2021-10-05,70.828125,69.7291666666667
"6",2021-10-06,69.4041666666667,69.2291666666667
"7",2021-10-07,67.4604166666667,68.6583333333333
"8",2021-10-08,66.0302083333333,68.0510416666667
"9",2021-10-09,65.2458333333333,67.5677083333333
"10",2021-10-10,65.25,67.3447916666667
"11",2021-10-11,63.5451612903226,65.9655913978495
"12",2021-10-12,59.6177083333333,63.8270833333333
"13",2021-10-13,58.1708333333333,63.2729166666667
"14",2021-10-14,59.6958333333333,62.9583333333333
"15",2021-10-15,61.1145833333333,62.9197916666667
"16",2021-10-16,62.22,63.1063157894737
"17",2021-10-17,63.0885416666667,63.1458333333333
"18",2021-10-18,61.9239583333333,62.5833333333333
"19",2021-10-19,60.3905263157895,62.304347826087
"20",2021-10-20,59.628125,62.1947916666667
"21",2021-10-21,60.4510416666667,62.3208333333333
"22",2021-10-22,62.0010416666667,62.4395833333333
"23",2021-10-23,62.04375,62.3697916666667
"24",2021-10-24,61.5784946236559,61.9440860215054
"25",2021-10-25,60.43375,61.61125
"26",2021-10-26,60.0739583333333,61.6083333333333
"27",2021-10-27,60.3375,61.9645833333333
"28",2021-10-28,61.86875,61.9145833333333
"29",2021-10-29,62.8947916666667,61.9197916666667
"30",2021-10-30,63.2729166666667,61.8322916666667
"31",2021-10-31,62.55,61.7552083333333
"32",2021-11-01,61.3802083333333,61.65625
"33",2021-11-02,60.9583333333333,61.778125
"34",2021-11-03,61.51875,61.9442105263158
"35",2021-11-04,62.8347368421053,62.23125
"36",2021-11-05,61.9541666666667,62.1979166666667
"37",2021-11-06,61.4583333333333,61.9145833333333
"38",2021-11-07,60.8385416666667,61.421875
"39",2021-11-08,58.8635416666667,61.0572916666667
"40",2021-11-09,58.1260416666667,60.5177083333333
"41",2021-11-10,58.2989583333333,60.5010416666667
"42",2021-11-11,59.4354166666667,60.4875
"43",2021-11-12,59.9604166666667,60.3614583333333
"44",2021-11-13,59.6291666666667,60.1364583333333
"45",2021-11-14,58.9515789473684,59.8905263157895
"46",2021-11-15,58.0166666666667,59.590625
"47",2021-11-16,57.253125,59.309375
"48",2021-11-17,57.4770833333333,59.0705263157895
"49",2021-11-18,57.3302083333333,58.7572916666667
"50",2021-11-19,57.05,58.6791666666667
"51",2021-11-20,58.5677083333333,58.6395833333333
"52",2021-11-21,58.3336842105263,58.4010526315789
"53",2021-11-22,57.4375,58.3125
"54",2021-11-23,56.6854166666667,58.0177083333333
"55",2021-11-24,55.2208333333333,57.2989583333333
"56",2021-11-25,53.9802083333333,56.903125
"57",2021-11-26,53.909375,56.7125
"58",2021-11-27,54.028125,56.609375
"59",2021-11-28,54.1368421052632,56.5252631578947
"60",2021-11-29,54.2447916666667,56.4645833333333
"61",2021-11-30,54.5604166666667,56.4291666666667
"62",2021-12-01,54.7854166666667,56.353125
"63",2021-12-02,54.8302083333333,56.2645833333333
"64",2021-12-03,54.3635416666667,56.1645833333333
"65",2021-12-04,53.9604166666667,55.825
"66",2021-12-05,54.08125,55.625
"67",2021-12-06,53.6864583333333,55.2052083333333
"68",2021-12-07,53.3614583333333,54.9802083333333
"69",2021-12-08,53.4810526315789,54.6989473684211
"70",2021-12-09,53.3114583333333,54.5427083333333
"71",2021-12-10,52.82,53.94
"72",2021-12-11,51.528125,53.5104166666667
"73",2021-12-12,50.665625,53.1927083333333
"74",2021-12-13,50.3260416666667,52.7125
"75",2021-12-14,50.3252631578947,52.2105263157895
"76",2021-12-15,49.740625,51.521875
"77",2021-12-16,49.41875,50.8572916666667
"78",2021-12-17,49.2760416666667,50.3822916666667
"79",2021-12-18,48.4354166666667,49.9
"80",2021-12-19,47.5375,49.571875
"81",2021-12-20,47.6768421052632,49.1389473684211
"82",2021-12-21,47.7125,48.8572916666667
"83",2021-12-22,48.334375,48.61875
"84",2021-12-23,49.7802083333333,48.6291666666667
"85",2021-12-24,50.8114583333333,48.8322916666667
"86",2021-12-25,51.190625,48.7635416666667
"87",2021-12-26,50.0020833333333,48.39375
"88",2021-12-27,49.5145833333333,48.29375
"89",2021-12-28,48.834375,48.090625
"90",2021-12-29,48.0708333333333,47.8052083333333
"91",2021-12-30,48.2229166666667,47.7041666666667
"92",2021-12-31,48.6515789473684,47.5873684210526
"93",2022-01-01,48.1094736842105,47.2305263157895
"94",2022-01-02,46.9708333333333,47.0145833333333
"95",2022-01-03,46.4041666666667,46.8864583333333
"96",2022-01-04,47.478125,47.0697916666667
"97",2022-01-05,48.9322580645161,47.4376344086022
"98",2022-01-06,51.13,47.7555555555556
"99",2022-01-07,52.2944444444444,47.9722222222222
"100",2022-01-08,52.2208333333333,47.9854166666667
"101",2022-01-09,51.12,48.0042105263158
"102",2022-01-10,50.9568421052632,48.2494736842105
"103",2022-01-11,51.1606382978723,48.486170212766
"104",2022-01-12,51.19375,48.7666666666667
"105",2022-01-13,51.4989583333333,48.9572916666667
"106",2022-01-14,51.4894736842105,49.0578947368421
"107",2022-01-15,51.5010416666667,49.0614583333333
"108",2022-01-16,52.2557894736842,49.1915789473684
"109",2022-01-17,52.9210526315789,49.2905263157895
"110",2022-01-18,53.3294736842105,49.4568421052632
"111",2022-01-19,53.3157894736842,49.7178947368421
"112",2022-01-20,53.1166666666667,49.88125
"113",2022-01-21,52.9416666666667,49.909375
