"","agency_cd","location_id","datetime","parameter_cd","parameter_value"
"112","CDEC","MLM",2022-01-20,"20",189.5
"113","CDEC","MLM",2022-01-21,"20",193.864583333333
"114","CDEC","MLM",2022-01-22,"20",192.71875
"115","CDEC","MLM",2022-01-23,"20",190.114583333333
"116","CDEC","MLM",2022-01-24,"20",190.322916666667
"117","CDEC","MLM",2022-01-25,"20",190.583333333333
"118","CDEC","MLM",2022-01-26,"20",537.010638297872
"119","CDEC","MLM",2022-01-27,"20",177.260416666667
"120","CDEC","MLM",2022-01-28,"20",173.322916666667
"121","CDEC","MLM",2022-01-29,"20",171.375
"122","CDEC","MLM",2022-01-30,"20",170.614583333333
"123","CDEC","MLM",2022-01-31,"20",170.760416666667
"124","CDEC","MLM",2022-02-01,"20",168.552083333333
"125","CDEC","MLM",2022-02-02,"20",163.6875
"126","CDEC","MLM",2022-02-03,"20",159.239583333333
"127","CDEC","MLM",2022-02-04,"20",156.947916666667
"128","CDEC","MLM",2022-02-05,"20",157.895833333333
"129","CDEC","MLM",2022-02-06,"20",160.34375
"130","CDEC","MLM",2022-02-07,"20",163.614583333333
"131","CDEC","MLM",2022-02-08,"20",169.208333333333
"132","CDEC","MLM",2022-02-09,"20",177.270833333333
"133","CDEC","MLM",2022-02-10,"20",195.385416666667
"134","CDEC","MLM",2022-02-11,"20",221.78125
"135","CDEC","MLM",2022-02-12,"20",238.104166666667
"136","CDEC","MLM",2022-02-13,"20",242.885416666667
"137","CDEC","MLM",2022-02-14,"20",249.5
"138","CDEC","MLM",2022-02-15,"20",244.9375
"139","CDEC","MLM",2022-02-16,"20",222.979166666667
"140","CDEC","MLM",2022-02-17,"20",211.583333333333
"141","CDEC","MLM",2022-02-18,"20",207.208333333333
"142","CDEC","MLM",2022-02-19,"20",212.760416666667
"143","CDEC","MLM",2022-02-20,"20",218.729166666667
"144","CDEC","MLM",2022-02-21,"20",213.489583333333
"145","CDEC","MLM",2022-02-22,"20",199.833333333333
"146","CDEC","MLM",2022-02-23,"20",184.25
"147","CDEC","MLM",2022-02-24,"20",174.04347826087
"148","CDEC","MLM",2022-02-25,"20",168.364583333333
"149","CDEC","MLM",2022-02-26,"20",163.8125
"150","CDEC","MLM",2022-02-27,"20",161.25
"151","CDEC","MLM",2022-02-28,"20",162
"152","CDEC","MLM",2022-03-01,"20",175.90625
"153","CDEC","MLM",2022-03-02,"20",189.9375
"154","CDEC","MLM",2022-03-03,"20",202.125
"155","CDEC","MLM",2022-03-04,"20",195.520833333333
"156","CDEC","MLM",2022-03-05,"20",208.8125
"157","CDEC","MLM",2022-03-06,"20",186.229166666667
"158","CDEC","MLM",2022-03-07,"20",176.708333333333
"159","CDEC","MLM",2022-03-08,"20",171
"160","CDEC","MLM",2022-03-09,"20",173.46875
"161","CDEC","MLM",2022-03-10,"20",176.572916666667
"162","CDEC","MLM",2022-03-11,"20",170.010416666667
"163","CDEC","MLM",2022-03-12,"20",175.697916666667
"164","CDEC","MLM",2022-03-13,"20",182.413043478261
"165","CDEC","MLM",NA,"20",169.75
"166","CDEC","MLM",2022-03-14,"20",179
"167","CDEC","MLM",2022-03-15,"20",243.552083333333
"168","CDEC","MLM",2022-03-16,"20",286.072916666667
"169","CDEC","MLM",2022-03-17,"20",248.447916666667
"170","CDEC","MLM",2022-03-18,"20",233.322916666667
"171","CDEC","MLM",2022-03-19,"20",237.739583333333
"172","CDEC","MLM",2022-03-20,"20",223.854166666667
"173","CDEC","MLM",2022-03-21,"20",209.104166666667
"174","CDEC","MLM",2022-03-22,"20",246.270833333333
"175","CDEC","MLM",2022-03-23,"20",293.708333333333
"176","CDEC","MLM",2022-03-24,"20",312.458333333333
"177","CDEC","MLM",2022-03-25,"20",299.21875
"178","CDEC","MLM",2022-03-26,"20",294.375
"179","CDEC","MLM",2022-03-27,"20",283.4375
"180","CDEC","MLM",2022-03-28,"20",273.541666666667
"181","CDEC","MLM",2022-03-29,"20",247.916666666667
"182","CDEC","MLM",2022-03-30,"20",242.25
"183","CDEC","MLM",2022-03-31,"20",237.302083333333
"184","CDEC","MLM",2022-04-01,"20",227.895833333333
"185","CDEC","MLM",2022-04-02,"20",227.104166666667
"186","CDEC","MLM",2022-04-03,"20",218.822916666667
"187","CDEC","MLM",2022-04-04,"20",207.614583333333
"188","CDEC","MLM",2022-04-05,"20",201.416666666667
"189","CDEC","MLM",2022-04-06,"20",198.6875
"190","CDEC","MLM",2022-04-07,"20",199.395833333333
"191","CDEC","MLM",2022-04-08,"20",205.5
"192","CDEC","MLM",2022-04-09,"20",210.3125
"193","CDEC","MLM",2022-04-10,"20",194.78125
"194","CDEC","MLM",2022-04-11,"20",197.520833333333
"195","CDEC","MLM",2022-04-12,"20",188.552083333333
"196","CDEC","MLM",2022-04-13,"20",177.78125
"197","CDEC","MLM",2022-04-14,"20",190.791666666667
"198","CDEC","MLM",2022-04-15,"20",225.989583333333
"199","CDEC","MLM",2022-04-16,"20",329.802083333333
"200","CDEC","MLM",2022-04-17,"20",348.916666666667
"201","CDEC","MLM",2022-04-18,"20",292.395833333333
"202","CDEC","MLM",2022-04-19,"20",436.479166666667
"203","CDEC","MLM",2022-04-20,"20",378.364583333333
"204","CDEC","MLM",2022-04-21,"20",455.760416666667
"205","CDEC","MLM",2022-04-22,"20",411.260416666667
"206","CDEC","MLM",2022-04-23,"20",350.114583333333
"207","CDEC","MLM",2022-04-24,"20",321.395833333333
"208","CDEC","MLM",2022-04-25,"20",318.4375
"209","CDEC","MLM",2022-04-26,"20",329.427083333333
"210","CDEC","MLM",2022-04-27,"20",351.135416666667
"211","CDEC","MLM",2022-04-28,"20",330.6875
"212","CDEC","MLM",2022-04-29,"20",291.15625
"213","CDEC","MLM",2022-04-30,"20",296.552083333333
"214","CDEC","MLM",2022-05-01,"20",294.479166666667
"215","CDEC","MLM",2022-05-02,"20",283.770833333333
"216","CDEC","MLM",2022-05-03,"20",259.03125
"217","CDEC","MLM",2022-05-04,"20",259.5625
"218","CDEC","MLM",2022-05-05,"20",264.270833333333
"219","CDEC","MLM",2022-05-06,"20",245.822916666667
"220","CDEC","MLM",2022-05-07,"20",240.833333333333
"221","CDEC","MLM",2022-05-08,"20",232.875
"222","CDEC","MLM",2022-05-09,"20",228.34375
"223","CDEC","MLM",2022-05-10,"20",221.135416666667
"224","CDEC","MLM",2022-05-11,"20",210.78125
"225","CDEC","MLM",2022-05-12,"20",211.375
"226","CDEC","MLM",2022-05-13,"20",204.947916666667
"227","CDEC","MLM",2022-05-14,"20",204.052083333333
"228","CDEC","MLM",2022-05-15,"20",206.5625
"229","CDEC","MLM",2022-05-16,"20",217.947916666667
"230","CDEC","MLM",2022-05-17,"20",217.197916666667
"231","CDEC","MLM",2022-05-18,"20",219.041666666667
"232","CDEC","MLM",2022-05-19,"20",227.166666666667
"233","CDEC","MLM",2022-05-20,"20",226.6875
"234","CDEC","MLM",2022-05-21,"20",210.208333333333
"235","CDEC","MLM",2022-05-22,"20",205.614583333333
"236","CDEC","MLM",2022-05-23,"20",203.239583333333
"237","CDEC","MLM",2022-05-24,"20",204.979166666667
"238","CDEC","MLM",2022-05-25,"20",207.25
"239","CDEC","MLM",2022-05-26,"20",210.9375
"240","CDEC","MLM",2022-05-27,"20",207.604166666667
"241","CDEC","MLM",2022-05-28,"20",206.010416666667
"242","CDEC","MLM",2022-05-29,"20",217.166666666667
"243","CDEC","MLM",2022-05-30,"20",197.8125
"244","CDEC","MLM",2022-05-31,"20",188.260416666667
"245","CDEC","MLM",2022-06-01,"20",182.09375
"246","CDEC","MLM",2022-06-02,"20",179.364583333333
"247","CDEC","MLM",2022-06-03,"20",180.333333333333
"248","CDEC","MLM",2022-06-04,"20",183.822916666667
"249","CDEC","MLM",2022-06-05,"20",249.375
"250","CDEC","MLM",2022-06-06,"20",231.864583333333
"251","CDEC","MLM",2022-06-07,"20",204.822916666667
"252","CDEC","MLM",2022-06-08,"20",193.4375
"253","CDEC","MLM",2022-06-09,"20",189.5625
"254","CDEC","MLM",2022-06-10,"20",187.885416666667
"255","CDEC","MLM",2022-06-11,"20",187.354166666667
"256","CDEC","MLM",2022-06-12,"20",211.90625
"257","CDEC","MLM",2022-06-13,"20",293
"258","CDEC","MLM",2022-06-14,"20",207.135416666667
"259","CDEC","MLM",2022-06-15,"20",190.46875
"260","CDEC","MLM",2022-06-16,"20",182.270833333333
"261","CDEC","MLM",2022-06-17,"20",176.25
"262","CDEC","MLM",2022-06-18,"20",193.114583333333
"263","CDEC","MLM",2022-06-19,"20",188.302083333333
"264","CDEC","MLM",2022-06-20,"20",178.354166666667
"265","CDEC","MLM",2022-06-21,"20",167.479166666667
"266","CDEC","MLM",2022-06-22,"20",162.083333333333
"267","CDEC","MLM",2022-06-23,"20",162.9375
"268","CDEC","MLM",2022-06-24,"20",163.083333333333
"269","CDEC","MLM",2022-06-25,"20",163.5
"270","CDEC","MLM",2022-06-26,"20",162.979166666667
"271","CDEC","MLM",2022-06-27,"20",162.03125
"272","CDEC","MLM",2022-06-28,"20",160.729166666667
"273","CDEC","MLM",2022-06-29,"20",159.364583333333
"274","CDEC","MLM",2022-06-30,"20",159
