"","year","date","daily.mean","three.day.avg.cfs"
"37",2021,2021-11-06,9456.01041666667,9670.78472222222
"38",2021,2021-11-07,9071.17894736842,9490.70201023392
"39",2021,2021-11-08,8361.48387096774,8962.89107833428
"40",2021,2021-11-09,9015.72916666667,8816.13066166761
"41",2021,2021-11-10,9411.04166666667,8929.41823476702
"42",2021,2021-11-11,10579.0526315789,9668.60782163743
"43",2021,2021-11-12,13953.6842105263,11314.5928362573
"44",2021,2021-11-13,12707.8125,12413.5164473684
"45",2021,2021-11-14,10861.9791666667,12507.8252923977
"46",2021,2021-11-15,9219.40625,10929.7326388889
"47",2021,2021-11-16,8393.72916666667,9491.70486111111
"48",2021,2021-11-17,7336.08421052632,8316.40654239766
"49",2021,2021-11-18,6942.81052631579,7557.54130116959
"50",2021,2021-11-19,6920.8125,7066.56907894737
"51",2021,2021-11-20,6807.78125,6890.46809210526
"52",2021,2021-11-21,6859.125,6862.57291666667
"53",2021,2021-11-22,6370.1875,6679.03125
"54",2021,2021-11-23,6512.87368421053,6580.72872807018
"55",2021,2021-11-24,6814.30208333333,6565.78775584795
"56",2021,2021-11-25,6499.46315789474,6608.87964181286
"57",2021,2021-11-26,6098.375,6470.71341374269
"58",2021,2021-11-27,6503,6366.94605263158
"59",2021,2021-11-28,6802.64210526316,6468.00570175439
"60",2021,2021-11-29,6898.86315789474,6734.8350877193
"61",2021,2021-11-30,6680.13541666667,6793.88022660819
"62",2021,2021-12-01,6560.13541666667,6713.04466374269
"63",2021,2021-12-02,6071.60416666667,6437.29166666667
"64",2021,2021-12-03,5756.76041666667,6129.5
"65",2021,2021-12-04,6081.65625,5970.00694444444
"66",2021,2021-12-05,6414.73958333333,6084.38541666667
"67",2021,2021-12-06,6347.60416666667,6281.33333333333
"68",2021,2021-12-07,6171.35789473684,6311.23388157895
"69",2021,2021-12-08,6387.09473684211,6302.01893274854
"70",2021,2021-12-09,6922.125,6493.52587719298
"71",2021,2021-12-10,7043.14583333333,6784.12185672515
"72",2021,2021-12-11,6629.09375,6864.78819444444
"73",2021,2021-12-12,6681.86458333333,6784.70138888889
"74",2021,2021-12-13,8806.1875,7372.38194444444
"75",2021,2021-12-14,16109.6875,10532.5798611111
"76",2021,2021-12-15,25642.1052631579,16852.6600877193
"77",2021,2021-12-16,29195.7446808511,23649.179148003
"78",2021,2021-12-17,27769.1489361702,27535.6662933931
"79",2021,2021-12-18,27632.6315789474,28199.1750653229
"80",2021,2021-12-19,24814.5833333333,26738.7879494836
"81",2021,2021-12-20,20856.8421052632,24434.6856725146
"82",2021,2021-12-21,17706.3157894737,21125.9137426901
"83",2021,2021-12-22,15964.375,18175.8442982456
"84",2021,2021-12-23,16433.3333333333,16701.341374269
"85",2021,2021-12-24,22447.9166666667,18281.875
"86",2021,2021-12-25,30541.6666666667,23140.9722222222
"87",2021,2021-12-26,34306.25,29098.6111111111
"88",2021,2021-12-27,34234.375,33027.4305555556
"89",2021,2021-12-28,29762.1052631579,32767.576754386
"90",2021,2021-12-29,30961.0526315789,31652.5109649123
"91",2021,2021-12-30,29444.7916666667,30055.9831871345
"92",2021,2021-12-31,30341.6666666667,30249.1703216374
"93",2022,2022-01-01,28315.625,NA
"94",2022,2022-01-02,25290.4255319149,NA
"95",2022,2022-01-03,22511.5789473684,25372.5431597611
"96",2022,2022-01-04,21475.7894736842,23092.5979843225
"97",2022,2022-01-05,20511.7021276596,21499.6901829041
"98",2022,2022-01-06,20668.5393258427,20885.3436423955
"99",2022,2022-01-07,21963.5416666667,21047.927706723
"100",2022,2022-01-08,22466.6666666667,21699.5825530587
"101",2022,2022-01-09,22231.25,22220.4861111111
"102",2022,2022-01-10,22492.7083333333,22396.875
"103",2022,2022-01-11,21628.125,22117.3611111111
"104",2022,2022-01-12,20126.0416666667,21415.625
"105",2022,2022-01-13,17106.3829787234,19620.18321513
"106",2022,2022-01-14,16169.4736842105,17800.6327765335
"107",2022,2022-01-15,15960.6382978723,16412.1649869354
"108",2022,2022-01-16,15547.311827957,15892.4746033466
"109",2022,2022-01-17,15295.7608695652,15601.2369984648
"110",2022,2022-01-18,15113.0208333333,15318.6978436185
"111",2022,2022-01-19,15302.9166666667,15237.2327898551
"112",2022,2022-01-20,14885.4255319149,15100.4543439716
"113",2022,2022-01-21,13973.8709677419,14720.7377221078
"114",2022,2022-01-22,12897.2043010753,13918.833600244
"115",2022,2022-01-23,12777.9569892473,13216.3440860215
"116",2022,2022-01-24,12517.6842105263,12730.948500283
"117",2022,2022-01-25,12275.5208333333,12523.7206777023
"118",2022,2022-01-26,11766.0638297872,12186.4229578823
"119",2022,2022-01-27,10939.2631578947,11660.2826070051
"120",2022,2022-01-28,10814.2708333333,11173.1992736718
"121",2022,2022-01-29,10472.8125,10742.115497076
"122",2022,2022-01-30,10739.3684210526,10675.4839181287
"123",2022,2022-01-31,11825.9375,11012.7061403509
"124",2022,2022-02-01,12531.7708333333,11699.0255847953
"125",2022,2022-02-02,12754.0625,12370.5902777778
"126",2022,2022-02-03,12503.2291666667,12596.3541666667
"127",2022,2022-02-04,12784.4791666667,12680.5902777778
"128",2022,2022-02-05,12613.0208333333,12633.5763888889
"129",2022,2022-02-06,12729.1666666667,12708.8888888889
"130",2022,2022-02-07,12530.7291666667,12624.3055555556
"131",2022,2022-02-08,12272.7083333333,12510.8680555556
"132",2022,2022-02-09,12393.5416666667,12398.9930555556
"133",2022,2022-02-10,12605.3191489362,12423.8563829787
"134",2022,2022-02-11,12617.6086956522,12538.8231704183
"135",2022,2022-02-12,12757.7083333333,12660.2120593072
"136",2022,2022-02-13,12384.3617021277,12586.5595770377
"137",2022,2022-02-14,11719.7849462366,12287.2849938992
"138",2022,2022-02-15,12273.5483870968,12125.8983451537
"139",2022,2022-02-16,12079.5698924731,12024.3010752688
"140",2022,2022-02-17,12447.4193548387,12266.8458781362
"141",2022,2022-02-18,11819.1397849462,12115.376344086
"142",2022,2022-02-19,11571.6129032258,11946.0573476703
"143",2022,2022-02-20,11368.064516129,11586.2724014337
"144",2022,2022-02-21,11654.4791666667,11531.3855286738
"145",2022,2022-02-22,11358.9583333333,11460.500672043
"146",2022,2022-02-23,11226.4583333333,11413.2986111111
"147",2022,2022-02-24,11576.7021276596,11387.3729314421
"148",2022,2022-02-25,11648.1052631579,11483.7552413836
"149",2022,2022-02-26,11836.6666666667,11687.1580191614
"150",2022,2022-02-27,12197.0833333333,11893.951754386
"151",2022,2022-02-28,12352.8125,12128.8541666667
"152",2022,2022-03-01,12286.7021276596,12278.8659869976
"153",2022,2022-03-02,12279.8947368421,12306.4697881672
"154",2022,2022-03-03,12127.0833333333,12231.2267326117
"155",2022,2022-03-04,11626.3541666667,12011.110745614
"156",2022,2022-03-05,12589.1666666667,12114.2013888889
"157",2022,2022-03-06,12406.9791666667,12207.5
"158",2022,2022-03-07,12599.375,12531.8402777778
"159",2022,2022-03-08,12384.4791666667,12463.6111111111
"160",2022,2022-03-09,12102.3958333333,12362.0833333333
"161",2022,2022-03-10,12571.9791666667,12352.9513888889
"162",2022,2022-03-11,12573.125,12415.8333333333
"163",2022,2022-03-12,12143.7234042553,12429.6091903073
"164",2022,2022-03-13,12183.8888888889,12300.2457643814
"165",2022,2022-03-14,11374.0860215054,11900.5661048832
"166",2022,2022-03-15,10136.7741935484,11231.5830346476
"167",2022,2022-03-16,9224.62365591398,10245.1612903226
"168",2022,2022-03-17,8707.74193548387,9356.37992831541
"169",2022,2022-03-18,9082.31578947369,9004.89379362385
"170",2022,2022-03-19,8671.14583333333,8820.40118609696
"171",2022,2022-03-20,8840.9375,8864.79970760234
"172",2022,2022-03-21,8821.58064516129,8777.88799283154
"173",2022,2022-03-22,8748.32291666667,8803.61368727599
"174",2022,2022-03-23,8438.76041666667,8669.55465949821
"175",2022,2022-03-24,8434.09574468085,8540.39302600473
"176",2022,2022-03-25,8535.43010752688,8469.42875629147
"177",2022,2022-03-26,8317.47368421053,8428.99984547275
"178",2022,2022-03-27,8376,8409.6345972458
"179",2022,2022-03-28,9212.37234042553,8635.28200821202
"180",2022,2022-03-29,7828.62068965517,8472.3310100269
"181",2022,2022-03-30,9949.47916666667,8996.82406558246
"182",2022,2022-03-31,9732.29166666667,9170.13050766283
"183",2022,2022-04-01,9863.95833333333,9848.57638888889
"184",2022,2022-04-02,10059.7849462366,9885.34498207885
"185",2022,2022-04-03,9613.51063829787,9845.75130595592
"186",2022,2022-04-04,9629.8947368421,9767.73010712551
"187",2022,2022-04-05,9427.97872340426,9557.12803284808
"188",2022,2022-04-06,8736.10752688172,9264.66032904269
"189",2022,2022-04-07,8527.22105263158,8897.10243430585
"190",2022,2022-04-08,8194.36170212766,8485.89676054699
"191",2022,2022-04-09,8266.15053763441,8329.24443079788
"192",2022,2022-04-10,7246.51578947368,7902.34267641192
"193",2022,2022-04-11,6517.84042553191,7343.50225088
"194",2022,2022-04-12,7584.02150537634,7116.12590679398
"195",2022,2022-04-13,6734.05376344086,6945.30523144971
"196",2022,2022-04-14,6279.98947368421,6866.02158083381
"197",2022,2022-04-15,6637.48958333333,6550.5109401528
"198",2022,2022-04-16,6762.52083333333,6559.99996345029
"199",2022,2022-04-17,7692.9375,7030.98263888889
"200",2022,2022-04-18,7641.74736842105,7365.73523391813
"201",2022,2022-04-19,8553.54166666667,7962.74217836257
"202",2022,2022-04-20,7956.17708333333,8050.48870614035
"203",2022,2022-04-21,8150.42553191489,8220.04809397163
"204",2022,2022-04-22,9493.39784946237,8533.33348823686
"205",2022,2022-04-23,10239.1578947368,9294.32709203803
"206",2022,2022-04-24,10637.8723404255,10123.4760282082
"207",2022,2022-04-25,9907.63440860215,10261.5548812548
"208",2022,2022-04-26,8610.11578947368,9718.54084616712
"209",2022,2022-04-27,7893.6914893617,8803.81389581251
"210",2022,2022-04-28,7224.58947368421,7909.4655841732
"211",2022,2022-04-29,7123.18085106383,7413.82060470325
"212",2022,2022-04-30,6056.42105263158,6801.39712579321
"213",2022,2022-05-01,6463.57291666667,6547.72494012069
"214",2022,2022-05-02,6273.46875,6264.48757309942
"215",2022,2022-05-03,5992.37234042553,6243.13800236407
"216",2022,2022-05-04,5602.66315789474,5956.16808277342
"217",2022,2022-05-05,5587.36458333333,5727.46669388453
"218",2022,2022-05-06,5866.64893617021,5685.55889246609
"219",2022,2022-05-07,5754.8064516129,5736.27332370548
"220",2022,2022-05-08,5987.32631578947,5869.59390119086
"221",2022,2022-05-09,6606.38541666667,6116.17272802301
"222",2022,2022-05-10,6964.27083333333,6519.32752192982
"223",2022,2022-05-11,8069.51041666667,7213.38888888889
"224",2022,2022-05-12,8209.34375,7747.70833333333
"225",2022,2022-05-13,8169.65625,8149.50347222222
"226",2022,2022-05-14,7846.34375,8075.11458333333
"227",2022,2022-05-15,7191.21875,7735.73958333333
"228",2022,2022-05-16,8226.28260869565,7754.61503623188
"229",2022,2022-05-17,7869.08333333333,7762.194897343
"230",2022,2022-05-18,7607.14583333333,7900.83725845411
"231",2022,2022-05-19,7479.22916666667,7651.81944444444
"232",2022,2022-05-20,7552.33333333333,7546.23611111111
"233",2022,2022-05-21,7631.5,7554.35416666667
"234",2022,2022-05-22,8127.3085106383,7770.38061465721
"235",2022,2022-05-23,7917.87368421053,7892.22739828294
"236",2022,2022-05-24,7806.07291666667,7950.41837050516
"237",2022,2022-05-25,7111.69791666667,7611.88150584795
"238",2022,2022-05-26,6487.22916666667,7135
"239",2022,2022-05-27,7566.45833333333,7055.12847222222
"240",2022,2022-05-28,7509.36559139785,7187.68436379928
"241",2022,2022-05-29,8006.38541666667,7694.06978046595
"242",2022,2022-05-30,7951.15625,7822.30241935484
"243",2022,2022-05-31,7837.95833333333,7931.83333333333
"244",2022,2022-06-01,7788.21276595745,7859.10911643026
"245",2022,2022-06-02,7482.16842105263,7702.77984011447
"246",2022,2022-06-03,7617.60416666667,7629.32845122558
"247",2022,2022-06-04,7827.36458333333,7642.37905701754
"248",2022,2022-06-05,8142.77083333333,7862.57986111111
"249",2022,2022-06-06,8489.16666666667,8153.10069444444
"250",2022,2022-06-07,8566.55319148936,8399.49689716312
"251",2022,2022-06-08,9209.18279569893,8754.96755128498
"252",2022,2022-06-09,9138.8947368421,8971.5435746768
"253",2022,2022-06-10,8615.21875,8987.76542751368
"254",2022,2022-06-11,8549.75,8767.95449561403
"255",2022,2022-06-12,8627.70212765958,8597.55695921986
"256",2022,2022-06-13,9177.34408602151,8784.93207122703
"257",2022,2022-06-14,8560.76344086022,8788.60321818043
"258",2022,2022-06-15,8406.67741935484,8714.92831541219
"259",2022,2022-06-16,8601.23157894737,8522.89081305414
"260",2022,2022-06-17,8826.36458333333,8611.42452721185
"261",2022,2022-06-18,8849.42708333333,8759.00774853801
"262",2022,2022-06-19,8742.10416666667,8805.96527777778
"263",2022,2022-06-20,8694.60416666667,8762.04513888889
"264",2022,2022-06-21,8587.48958333333,8674.73263888889
"265",2022,2022-06-22,8457.72916666667,8579.94097222222
"266",2022,2022-06-23,8799.1170212766,8614.77859042553
"267",2022,2022-06-24,8950,8735.61539598109
"268",2022,2022-06-25,9354.46875,9034.52859042553
"269",2022,2022-06-26,9336.35416666667,9213.60763888889
"270",2022,2022-06-27,9681.46808510638,9457.43033392435
"271",2022,2022-06-28,NA,NA
"272",NA,NA,7512.5,NA
