"","year","date","daily.mean","three.day.avg.cfs"
"1",2021,2021-10-01,7551.07291666667,NA
"2",2021,2021-10-02,7461.83333333333,NA
"3",2021,2021-10-03,7315.1875,7442.69791666667
"4",2021,2021-10-04,7014.39583333333,7263.80555555556
"5",2021,2021-10-05,6800.09375,7043.22569444444
"6",2021,2021-10-06,7095.24210526316,6969.9105628655
"7",2021,2021-10-07,6924.32631578947,6939.88739035088
"8",2021,2021-10-08,7186.59375,7068.72072368421
"9",2021,2021-10-09,7505.98958333333,7205.6365497076
"10",2021,2021-10-10,7091.36458333333,7261.31597222222
"11",2021,2021-10-11,8392.04166666667,7663.13194444444
"12",2021,2021-10-12,7480.39583333333,7654.60069444444
"13",2021,2021-10-13,7624.2,7832.2125
"14",2021,2021-10-14,8415.6170212766,7840.07095153664
"15",2021,2021-10-15,8101.52631578947,8047.11444568869
"16",2021,2021-10-16,7372.17894736842,7963.10742814483
"17",2021,2021-10-17,6729.36842105263,7401.02456140351
"18",2021,2021-10-18,7532.2,7211.24912280702
"19",2021,2021-10-19,7213.76041666667,7158.44294590643
"20",2021,2021-10-20,7053.75789473684,7266.57277046784
"21",2021,2021-10-21,7348.64516129032,7205.38782423128
"22",2021,2021-10-22,8041.39583333333,7481.2662964535
"23",2021,2021-10-23,8687.375,8025.80533154122
"24",2021,2021-10-24,11330.625,9353.13194444445
"25",2021,2021-10-25,24035.4166666667,14684.4722222222
"26",2021,2021-10-26,36417.7083333333,23927.9166666667
"27",2021,2021-10-27,35775,32076.0416666667
"28",2021,2021-10-28,29389.5833333333,33860.7638888889
"29",2021,2021-10-29,21891.6666666667,29018.75
"30",2021,2021-10-30,18498.9583333333,23260.0694444444
"31",2021,2021-10-31,14865.8333333333,18418.8194444444
"32",2021,2021-11-01,12254.8958333333,15206.5625
"33",2021,2021-11-02,10967.1875,12695.9722222222
"34",2021,2021-11-03,9612.52083333333,10944.8680555556
"35",2021,2021-11-04,9611.42708333333,10063.7118055556
"36",2021,2021-11-05,9944.91666666667,9722.95486111111
