"","agency_cd","location_id","datetime","parameter_cd","parameter_value"
"1","CDEC","FPT",2021-10-01,"20",7551.07291666667
"2","CDEC","FPT",2021-10-02,"20",7461.83333333333
"3","CDEC","FPT",2021-10-03,"20",7315.1875
"4","CDEC","FPT",2021-10-04,"20",7014.39583333333
"5","CDEC","FPT",2021-10-05,"20",6800.09375
"6","CDEC","FPT",2021-10-06,"20",7095.24210526316
"7","CDEC","FPT",2021-10-07,"20",6924.32631578947
"8","CDEC","FPT",2021-10-08,"20",7186.59375
"9","CDEC","FPT",2021-10-09,"20",7505.98958333333
"10","CDEC","FPT",2021-10-10,"20",7091.36458333333
"11","CDEC","FPT",2021-10-11,"20",8392.04166666667
"12","CDEC","FPT",2021-10-12,"20",7480.39583333333
"13","CDEC","FPT",2021-10-13,"20",7624.2
"14","CDEC","FPT",2021-10-14,"20",8415.6170212766
"15","CDEC","FPT",2021-10-15,"20",8101.52631578947
"16","CDEC","FPT",2021-10-16,"20",7372.17894736842
"17","CDEC","FPT",2021-10-17,"20",6729.36842105263
"18","CDEC","FPT",2021-10-18,"20",7532.2
"19","CDEC","FPT",2021-10-19,"20",7213.76041666667
"20","CDEC","FPT",2021-10-20,"20",7053.75789473684
"21","CDEC","FPT",2021-10-21,"20",7348.64516129032
"22","CDEC","FPT",2021-10-22,"20",8041.39583333333
"23","CDEC","FPT",2021-10-23,"20",8687.375
"24","CDEC","FPT",2021-10-24,"20",11330.625
"25","CDEC","FPT",2021-10-25,"20",24035.4166666667
"26","CDEC","FPT",2021-10-26,"20",36417.7083333333
"27","CDEC","FPT",2021-10-27,"20",35775
"28","CDEC","FPT",2021-10-28,"20",29389.5833333333
"29","CDEC","FPT",2021-10-29,"20",21891.6666666667
"30","CDEC","FPT",2021-10-30,"20",18498.9583333333
"31","CDEC","FPT",2021-10-31,"20",14865.8333333333
"32","CDEC","FPT",2021-11-01,"20",12254.8958333333
"33","CDEC","FPT",2021-11-02,"20",10967.1875
"34","CDEC","FPT",2021-11-03,"20",9612.52083333333
