"SampleTime","Facility","Species","Adipose Clip","Count Duration (minutes)","Pumping Duration (minutes)","Sample Fraction","Study Type","Length","nfish","Expanded Salvage","Loss"
"2023-05-14 07:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",269,1,4,17.32
"2023-05-14 10:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",331,1,2,8.66
"2023-05-17 06:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",360,1,4,2.72
"2023-05-17 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",360,1,4,2.72
"2023-05-21 18:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",384,1,4,2.72
"2023-05-22 15:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",331,1,4,17.32
"2023-05-23 07:40:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",363,1,1,4.33
"2023-05-25 08:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",339,1,2,8.66
"2023-05-25 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",360,1,4,2.72
"2023-05-26 09:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",310,1,2,8.66
"2023-05-28 18:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",312,1,2,8.66
"2023-05-29 14:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",367,1,4,2.72
"2023-05-30 07:40:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",341,1,1,4.33
"2023-05-30 07:40:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",345,1,1,4.33
"2023-05-31 15:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",331,1,4,17.32
"2023-06-01 07:45:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",356,1,1,4.33
"2023-06-02 08:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",270,1,2,8.66
"2023-06-02 09:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",311,1,2,8.66
"2023-06-03 07:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",405,1,4,17.32
"2023-06-05 12:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",248,1,4,2.72
"2023-06-08 07:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",251,1,4,17.32
"2023-06-13 02:00:00","CVP","Rainbow / Steelhead Trout","Unclipped",30,120,0.25,"Normal count",227,1,4,2.72
"2023-06-13 08:30:00","SWP","Rainbow / Steelhead Trout","Unclipped",NA,NA,NA,"Second flush",252,1,1,4.33
"2023-06-14 08:00:00","SWP","Rainbow / Steelhead Trout","Unclipped",30,60,0.5,"Normal count",404,1,2,8.66
